screen_name	created_at	text	location	followers_count
barjhall	2021-02-08 17:56:22	"MON/08FEB21: ""Between Saturday and Sunday, the number of #Florida #COVID19 cases increased by 6,624 (nearly 0.4 percent), to 1,777,983; active hospitalizations went up by 5, to 5,382; deaths rose by 97 (nearly 0.4 percent), to 27,696. ~ POLITICO Florida"	""	185
gmun22	2021-02-08 17:56:21	"@fanoonman @natacha1975 @ABC Is ANYONE reading the family statement?

'He and his wife were hospitalized with Covid19 for 2 weeks.'

Is that a difficult sentence to understand?"	United States	151
yourtvov	2021-02-08 17:46:02	"For the most up to date information detailed information about COVID19 in Renfrew County, visit: https://t.co/WZc5NfZqto
The team at the Health Unit is working hard to keep us informed and educated on the ever-evolving covid situation. #ThankYou

#YOURTV #TrulyLocal https://t.co/gYDN8OTilX"	Pembroke, Ontario	1279
yourtvov	2021-02-08 17:56:20	"National update on #COVID19 in Canada. 
 
Confirmed Cases: 804,260
Cases today: 3,203
Active Cases: 44,727 (-984)
Deaths: 20,767 (+65)
Recovered: 738,766 (+4,122)
Tests performed: 109.982

https://t.co/6LlMBnKb4n"	Pembroke, Ontario	1279
deborah_kinnear	2021-02-08 17:56:19	Tune in now @STVNews to hear @AngMHenderson report on our Covid-19 research findings  @ScotLDO #COVID19 #LearningDisability	University of Glasgow	460
indy_slug	2021-02-08 17:56:16	"@RandomInquisit1 @PhilipWatson_ If a more effective vaccine eventuates they may get across the line.
NZ recently had contamination arise after quarantine and they did not as you claim lockdown an entire city.   The community transmission was outside a city.  Care to speculate some more? https://t.co/KomJmQbiaT"	Leuven	276
indy_slug	2021-02-08 17:31:58	@RandomInquisit1 @PhilipWatson_ Not much strikes me as sustainable about Covid19.  To squander options is likely the most unsustainable action of all, but meh, too much rhetoric is being chucked around.	Leuven	276
dgm2	2021-02-08 17:56:14	"Yes, finally the teachers will be getting COVID19 vaccine. Check out this article from Tennessean:

Nashville to begin scheduling vaccines for teachers, school staff this week

https://t.co/AoC11v7J7w"	""	1660
yourtvontario	2021-02-08 17:56:14	"National update on #COVID19 in Canada. 
 
Confirmed Cases: 804,260
Cases today: 3,203
Active Cases: 44,727 (-984)
Deaths: 20,767 (+65)
Recovered: 738,766 (+4,122)
Tests performed: 109.982

https://t.co/yLohrTwcjg"	Ontario, Canada	3800
LucyEfram1	2021-02-08 17:56:13	"Important info for all Esential Caregivers. 
Those Shoppers Drug Mart which offered #COVID19 for workers and ECG that required testing in order to get into #LTCH will no longer be able to get one as of Feb 15. This order came from the Health Ministry. 
https://t.co/LZRTwygnPu"	""	335
Shorty_DNA	2021-02-08 17:56:11	@SenToniAtkins, the ASES daily rate per child is $8.88. As a result of #COVID19, programs are running longer hrs to meet the needs of vulnerable communities. We must do more to sustainably address #equity for students &amp; staff. #COLA #CABudget #CALeg #CaAfterschoolWorks #ASES	Downey	126
