"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x398627964","x1360895262105960448",2021-02-14 10:14:49,"DaveDooganSNP","I hope The Mail etc are included the broader analysis of catastrophic failures in the UK's #COVID19 response. https://t.co/8mx09ZifJ4","Twitter for Android",109,,,,FALSE,FALSE,0,0,,,"COVID19",,,,,"http://pbs.twimg.com/media/EuLfBsPXYAMJXsp.jpg","https://t.co/8mx09ZifJ4","https://twitter.com/DaveDooganSNP/status/1360895262105960448/photo/1","photo","http://pbs.twimg.com/media/EuLfBsPXYAMJXsp.jpg","https://t.co/8mx09ZifJ4","https://twitter.com/DaveDooganSNP/status/1360895262105960448/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/DaveDooganSNP/status/1360895262105960448","Dave Doogan MP","Arbroath, Scotland","SNP MP for Angus - Aircraft Engineer - Views all mine!",,FALSE,3707,907,117,4424,1127,2011-10-26 10:04:02,TRUE,,,,"https://pbs.twimg.com/profile_banners/398627964/1608250639","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1340450174683013121/0JbZhfDm_normal.jpg"
"x1259135184","x1360895258767331334",2021-02-14 10:14:48,"ChronicleZim","FIVE more people have succumbed to Covid-19 in Zimbabwe bringing death toll to 1 398 while 59 others tested positive to the global pandemic in the last 24 hours.

https://t.co/xyGShDNA9W @MoHCCZim @Solwayo1 #COVID19 #StaySafe #MaskUp #sanitise &amp; #SocialDistance","Twitter Web App",265,,,,FALSE,FALSE,0,0,,,"COVID19 StaySafe MaskUp sanitise SocialDistance",,"chronicle.co.zw/just-in-5-more…","https://t.co/xyGShDNA9W","https://www.chronicle.co.zw/just-in-5-more-people-succumb-to-covid-19/",,,,,,,,,"x4891243906 x877924720645206016","MoHCCZim Solwayo1","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ChronicleZim/status/1360895258767331334","The Chronicle","Bulawayo, Zimbabwe","The Chronicle is a leading daily published by Zimbabwe Newspapers Ltd (1980). DISCLAIMER: Retweets and likes are not an endorsement.",,FALSE,63250,1002,254,92819,527,2013-03-11 10:46:06,FALSE,,,,"https://pbs.twimg.com/profile_banners/1259135184/1602784433","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/783931321034891264/obd6_U_I_normal.jpg"
"x1617271650","x1360895239444127748",2021-02-14 10:14:43,"HannahLouise2me","@alexandra_DBmed <U+0001F499><U+0001F499><U+0001F499><U+0001F499> Love this. @NHSuk #ValentinesDay #valentinesday2021 #NHS #CovidUK #COVID19 #Scrubs #fighting https://t.co/M1Uu07oSTf","Twitter for iPhone",114,,"x1074724335640854531","alexandra_DBmed",FALSE,FALSE,0,0,,,"ValentinesDay valentinesday2021 NHS CovidUK COVID19 Scrubs fighting",,,,,"http://pbs.twimg.com/media/EuLfAX1XYAsrKil.jpg","https://t.co/M1Uu07oSTf","https://twitter.com/HannahLouise2me/status/1360895239444127748/photo/1","photo","http://pbs.twimg.com/media/EuLfAX1XYAsrKil.jpg","https://t.co/M1Uu07oSTf","https://twitter.com/HannahLouise2me/status/1360895239444127748/photo/1",,"x1074724335640854531 x10215212","alexandra_DBmed NHSuk","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/616ba1df27270916.json","Oxford","Oxford, England","city","United Kingdom","GB","NA NA","NA NA","-1.289608 -1.1772587 -1.1772587 -1.289608 51.7122668 51.7122668 51.796305 51.796305","https://twitter.com/HannahLouise2me/status/1360895239444127748","Hannah-Louise Toomey OT","Oxford, England","MSc OT student. Special interest in HMP OT, eating disorders, sexual function and intimacy. NHS Oxford Health Governor. Love adventure, cheese and wine!",,FALSE,398,1094,3,1074,1748,2013-07-24 09:09:57,FALSE,,,,"https://pbs.twimg.com/profile_banners/1617271650/1611494888","http://abs.twimg.com/images/themes/theme3/bg.gif","http://pbs.twimg.com/profile_images/1353333763367981056/ZTSSAKdI_normal.jpg"
"x4513448139","x1360895237175017474",2021-02-14 10:14:43,"MeyerResources","Thank @arbnews &amp; @FaisalJAbbas f.publishing &amp; @arsegyerlsfeck f.editing my Op-Ed on appointing #MarioDraghi as #Italy  #PrimeMinister =stroke of genius. Has experience &amp; connectivity in #Europe to steer Italy through very hard times. #COVID19 #economy 

https://t.co/aqhgJrmXlR","Twitter Web App",289,,,,FALSE,FALSE,0,0,,,"MarioDraghi Italy PrimeMinister Europe COVID19 economy",,"arabnews.com/node/1808746","https://t.co/aqhgJrmXlR","https://www.arabnews.com/node/1808746",,,,,,,,,"x233930091 x26988955 x296723599","arbnews FaisalJAbbas arsegyerlsfeck","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MeyerResources/status/1360895237175017474","Cornelia Meyer","","Economist, energy expert, adviser, media commentator, business woman, leader & chairman.",,FALSE,1998,616,0,6262,2656,2015-12-17 11:55:46,FALSE,,,,,,"http://pbs.twimg.com/profile_images/687620024140447744/ZhpbDL4j_normal.jpg"
"x4513448139","x1360887490043932673",2021-02-14 09:43:56,"MeyerResources","@MarrShow Prof. John Watson important to find out whether activity prior #Wuhan #outbreak . Says #China = probable source but not the only possibility must learn more. Watson no fan of #geopolitical speculations. #COVID19","Twitter Web App",221,,"x317173156","MarrShow",FALSE,FALSE,0,0,,,"Wuhan outbreak China geopolitical COVID19",,,,,,,,,,,,,"x317173156","MarrShow","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MeyerResources/status/1360887490043932673","Cornelia Meyer","","Economist, energy expert, adviser, media commentator, business woman, leader & chairman.",,FALSE,1998,616,0,6262,2656,2015-12-17 11:55:46,FALSE,,,,,,"http://pbs.twimg.com/profile_images/687620024140447744/ZhpbDL4j_normal.jpg"
"x4513448139","x1360882639322959874",2021-02-14 09:24:39,"MeyerResources","@MarrShow @Adamprice makes pertinent point that #lowincome people need #Financial #support when asked to self isolate, but skirts around question on #Welsh #Independence . #COVID19 @Plaid_Cymru","Twitter Web App",193,,"x317173156","MarrShow",FALSE,FALSE,0,0,,,"lowincome Financial support Welsh Independence COVID19",,,,,,,,,,,,,"x317173156 x19188399 x14411725","MarrShow Adamprice Plaid_Cymru","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MeyerResources/status/1360882639322959874","Cornelia Meyer","","Economist, energy expert, adviser, media commentator, business woman, leader & chairman.",,FALSE,1998,616,0,6262,2656,2015-12-17 11:55:46,FALSE,,,,,,"http://pbs.twimg.com/profile_images/687620024140447744/ZhpbDL4j_normal.jpg"
"x4513448139","x1360886556173688832",2021-02-14 09:40:13,"MeyerResources","@MarrShow : Prof John Watson: cold chain transmission (frozen food) of #COVID19 is a possibility but ""down on list of probabilities"". Initial infections animal--&gt; host--&gt; human.    Time of outbreak: evidence of transmission other than secret market.","Twitter Web App",255,,"x317173156","MarrShow",FALSE,FALSE,0,0,,,"COVID19",,,,,,,,,,,,,"x317173156","MarrShow","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MeyerResources/status/1360886556173688832","Cornelia Meyer","","Economist, energy expert, adviser, media commentator, business woman, leader & chairman.",,FALSE,1998,616,0,6262,2656,2015-12-17 11:55:46,FALSE,,,,,,"http://pbs.twimg.com/profile_images/687620024140447744/ZhpbDL4j_normal.jpg"
"x4513448139","x1360888133840216064",2021-02-14 09:46:29,"MeyerResources","@MarrShow @DominicRaab emphasizes importance of #China sharing all the information on #COVID19 outbreak in #Wuhan.","Twitter Web App",114,,"x317173156","MarrShow",FALSE,FALSE,0,0,,,"China COVID19 Wuhan",,,,,,,,,,,,,"x317173156 x4764882552","MarrShow DominicRaab","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MeyerResources/status/1360888133840216064","Cornelia Meyer","","Economist, energy expert, adviser, media commentator, business woman, leader & chairman.",,FALSE,1998,616,0,6262,2656,2015-12-17 11:55:46,FALSE,,,,,,"http://pbs.twimg.com/profile_images/687620024140447744/ZhpbDL4j_normal.jpg"
"x1297465652547137543","x1360895230128578561",2021-02-14 10:14:41,"stepminer2","#COVID19 #Dashboard for the #Caribbean #Haiti #Cuba #Jamaica #DominicanRepublic. The epidemic is stable and uncertain in #Haiti with a low number of cases and high variance, thus a formidable challenge. Today's MIXED #Forecast: 38 cases[0, 117]95% https://t.co/HtFppWk21n https://t.co/zrbxTE4DIc","Twitter Web App",271,,,,FALSE,FALSE,0,1,,,"COVID19 Dashboard Caribbean Haiti Cuba Jamaica DominicanRepublic Haiti Forecast",,"rpubs.com/stepminer/7096…","https://t.co/HtFppWk21n","https://rpubs.com/stepminer/709695","http://pbs.twimg.com/media/EuLe9K2XAAUrVY0.jpg","https://t.co/zrbxTE4DIc","https://twitter.com/stepminer2/status/1360895230128578561/photo/1","photo","http://pbs.twimg.com/media/EuLe9K2XAAUrVY0.jpg","https://t.co/zrbxTE4DIc","https://twitter.com/stepminer2/status/1360895230128578561/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/stepminer2/status/1360895230128578561","Patrick Stephenson","Gatineau","Mr. Stephenson has led significant initiatives throughout his career, with experience and partnerships spanning multiple Canadian government departments.","https://t.co/E2o14BCC4Q",FALSE,50,385,0,2697,1371,2020-08-23 09:28:33,FALSE,"https://t.co/E2o14BCC4Q","https://rpubs.com/stepminer/709695",,,,"http://pbs.twimg.com/profile_images/1297466008920358913/xNObpBhy_normal.jpg"
"x1241559185017278464","x1360895223258308611",2021-02-14 10:14:40,"IsolationBot","Don't forget to do something creative today. <U+0001F3A8>

#COVID19 #COVID","Cheap Bots, Done Quick!",63,,,,FALSE,FALSE,0,0,,,"COVID19 COVID",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/IsolationBot/status/1360895223258308611","Isolation Bot","","Feeling isolated? I’m here to help! <U+0001F33F> #COVID19 means we’re living in some scary times but we can get through it together. <U+2728> From the creator of @selfcare_bot",,FALSE,279,2,7,7840,0,2020-03-22 02:56:00,FALSE,,,,"https://pbs.twimg.com/profile_banners/1241559185017278464/1584846546",,"http://pbs.twimg.com/profile_images/1241587941933109248/FBsxP_Mw_normal.jpg"
